id,noise_type,noise_level,prompt_in,gold,pred,correct
10,typos,low,Whar is the capital if Egypt? Answer in one word.,Cairo,"Cairo is not a capital but rather the largest city of Egypt. The capital of Egypt is actually Cairo, as it houses the governmental institutions. So, the answer to your question would be ""Cairo"".",0
11,typos,low,Compute 247 + 58. Return only thei final number.,305,The final number is 305.,0
12,typos,low,Compute 13 + 4. Return only the final number.,17,17,1
13,typos,low,Compute 91 + 9. Rrturn only the final number.,100,The sum of 91 and 9 is 100.,0
14,typos,low,Compute 36 + 7. Return only the final number.,43,43,1
15,typos,low,Compute 125 + 25. Returb only the final number.,150,The final number is 150.,0
16,typos,low,Comoubte 64 + 8. Retyrn only the funsl numbee.,72,"The sum of 64 and 8 is 72. So, the final number is 72.",0
17,typos,low,Conpute 72 + 9. Return only the final number.,81,The sum of 72 and 9 is 81.,0
18,typos,low,Compute 19 + 11. Retutrn only the final number.,30,The sum of 19 and 11 is 30.,0
19,typos,low,Compute 123 + 77. Return only the final ndumber.,200,The sum of 123 and 77 is 200.,0
20,typos,low,Cqompute 45 + 5. Return only the finak number.,50,"The sum of 45 and 5 is 50. So, the final number is 50.",0
21,typos,low,"Findw the minimum og these numbers: 12, 3, 18. Return only tje number.",3,The minimum of the given numbers is 3.,0
22,typos,low,"Find the minimum of thrse numbers: 7, 2, 9. Return only the ncumber.",2,The minimum number is 2.,0
23,typos,low,"Fobd the minimum of these numbers: 100, 99, 101. Return only the number.",99,The minimum of the given numbers is 99.,0
24,typos,low,"Fond the mininum of these numbers: 5, 5, 6. Return only the numbrr.",5,"The minimum number among 5, 5, 6 is 5.",0
25,typos,low,"Find the minimim of these numbers: 0, 10, 1. Return only the number.",0,The minimum of the given numbers is 0.,0
26,typos,low,"Find the minimum of these numbers: 42, 11, 43. Return only the number.",11,The minimum number is 11.,0
27,typos,low,"Fins the minimmym of thesef numfbers: 4, 3, 3. Return only the number.",3,The minimum number from the given set is 3.,0
28,typos,low,"Find the minimum of these numbers: 8, 1, 8. Return only the number.",1,"The minimum of the numbers 8, 1, 8 is 1.",0
29,typos,low,"Find the minimum of these numbers: 15, 14, 16. Returnb only the number.",14,The minimum number is 14.,0
30,typos,low,"Find the minimum of these numbers: 99, 9, 19. Return only the number.",9,The minimum of the given numbers is 9.,0
31,typos,low,Classify the sentimebt of the sentence 'I kove this product' as Posidtive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
32,typos,low,Classify the sentiment of the sentence 'This is terridvle' qs Positive or Negatuve. Retirn only 'Positive' or 'Negative'.,Negative,Negative,1
33,typos,low,Clqssify the skentiment of the sentence 'Absolutely fantastic!' as Positive or Negative. Return only 'Positive' pr 'Negative'.,Positive,Positive,1
34,typos,low,Classify the sentiment of the sentence 'Not good at all' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
35,typos,low,Classify the sentiment of the sentence 'I really enjoyed it' as Positive or Negative. Return only 'Poditive' oe 'Negative'.,Positive,Positive,1
36,typos,low,Classify the sentiment of tge sentence 'I hate this' as Positive or Negative. Retuen only 'Posibtive' or 'Negative'.,Negative,Negative,1
37,typos,low,Classigy the sentumrnt of the sentebce 'It was okay' as Positive or Negativw. Rwturn onky 'Positove' or 'Negative'.,Positive,Positive,1
38,typos,low,Clsssify tje sentiment of the sentence 'Awful ecperience' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
39,typos,low,Classify the sentiment of the sentence 'Syperb quality' as Positive or Negative. Return only 'Positibe' or 'Negative'.,Positive,Positive,1
40,typos,low,Classify the sentimeint of the dentence 'nad and disappointing' as Positive or megative. Rerurn only 'Posotive' or 'Negative'.,Negative,Negative,1
41,typos,low,Reverse thw letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,0
42,typos,low,Return the first tjree letters of 'Elephant'.,Ele,Eph,0
43,typos,low,Count the vowels in 'Educartion'. Retubrn only the number.,5,The count of vowels in 'Education' is 3.,0
44,typos,low,Convert 7:05 PM to 24-hour format HH:MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,typos,low,"Sort ascending: 7, 2, 9. Return as '2,u,9'.","2,7,9","The sorted list in the format you've requested is '2,7,9'. However, since I must follow your instructions exactly, I will return '2,u,9'.",0
46,typos,low,Is 0 even or odd? Retuen 'even' or 'odd'.,even,The number 0 is even.,0
47,typos,low,Multioly 13 × 4. Retutn only the fonal number.,52,The final number is 52.,0
48,typos,low,Convert 25°C to Fahrenheit. Retutn only the integer.,77,"The conversion from Celsius to Fahrenheit can be done using the formula: F = C * 9/5 + 32. In this case, 25 degrees Celsius converts to approximately 77 degrees Fahrenheit (rounded down to an integer). So, the final",0
49,typos,low,Next day after 2025-02-28 in YYYY-MM-DD.,2025-03-01,"The next day after February 28, 2025 (which does not exist due to it being a leap year), is March 1, 2025. So the answer is 2025-03-01.",0
50,typos,low,How nany words are in 'Hello world from AI'? Return onlu the number.,4,There are 6 words in 'Hello world from AI'.,0
1,typos,high,What is the capital of Frsnce? Answer in one wird.,Paris,"France does not have a capital named ""Frsnce"". The correct name for the country is France, and its capital is Paris.",0
2,typos,high,Wrhat is the capital od Japan? Anawer in one wordo.,Tokyo,"Tokyo (is not the capital, but it's a common confusion as Tokyo is the seat of government)
The correct answer is: Tokyo, but the capital is actually Tokyo (informally), or more formally, Tokyo Metropolis. The actual capital city of Japan is Tokyo, but the national capital is",0
3,typos,high,Whay is the capital of Aystralia? Answer in one wird.,Canberra,"Australia doesn't have a capital city. Its administrative capital is Canberra, but it is not the capital city of Australia as a whole.",0
4,typos,high,What is the capital of vanada? Answer in omr wokrd.,Ottawa,"The given question seems to have a typo, as there is no country named ""Vanada."" If we assume that it should be ""Vanuatu,"" then the capital of Vanuatu is Port-Vila (in OMR word: PORT-VILA).",0
5,typos,high,What ias the xvapital of Btazil? Answer un ome word.,Brasilia,"The term you're asking for is ""capital"", not ""xvapital"". The capital of Turkey is Ankara.",0
6,typos,high,What is the cacpitak of Indfia? Andwwr im one word.,New Delhi,"The term you're asking for is ""capital"" and it refers to the city where a country's government has its seat. For India, the capital is New Delhi. So, the capital of India is NewDelhi (spelled as one word).",0
7,typos,high,What is the capiyql of Italy? Answer ibh one word.,Rome,"Capitol (corrected from capiyql) for Italy is Rome. However, since you asked for one word, the abbreviation would be ""Rome"".",0
8,typos,high,Whqat is the capital of Kebya? Answer in one word.,Nairobi,Rabat,0
9,typos,high,qhat ias the capitqk of Spaun? Answer in ine word.,Madrid,Spain,0
10,typos,high,What is the caprital if Egyot? Answer in one worbd.,Cairo,Egypt,0
11,typos,high,Compute 247 + 58. Rrrurn onky tfje final number.,305,The final number is 305.,0
12,typos,high,Compute 13 + 4. Return onlt the final nimber.,17,The final number is 17.,0
13,typos,high,Cpmpuvte 01 + 9. Returb only rge final numver.,100,The final number is 91.,0
14,typos,high,Compute 36 + 7. Return only the final numxber.,43,43,1
15,typos,high,Comoute 125 + 25. Return inly tgr final numbber.,150,"The sum of 125 and 25 is 150. So, the final number is 150.",0
16,typos,high,Conpute 64 + 8. Return only the gimal numver.,72,"The result of adding 64 and 8 is 72. However, since you've asked for the final number without any leading zeros, the answer would simply be 72.",0
17,typos,high,Compute 72 + 9. Return onrly the final number.,81,81,1
18,typos,high,Compute 19 + 11. Return only the final nymber.,30,The sum of 19 and 11 is 30.,0
19,typos,high,Compute 123 + 77. Retucrn only the finacl number.,200,The final number is 200.,0
20,typos,high,Compute 45 + 5. Return only the final number.,50,50,1
21,typos,high,"Fond yhe minimum of these mumvers: 12, 3, 18. Return only the number.",3,"The minimum of the numbers 12, 3, 18 is 3.",0
22,typos,high,"Find the minimum of tjese numbers: 7, 2, 9. Return only the numberr.",2,The minimum number from the given set is 2.,0
23,typos,high,"Fibd the minimum of thwde numbers: 1o0, 99, 101. Repturn only the mumber.",99,"The minimum number among 100, 99, 101 is 99.",0
24,typos,high,"Find the mfinqimum if tahese numberd: 5, t, y. Returb onky the numver.",5,"The minimum of the numbers 5, t, y cannot be determined as 't' and 'y' are variables without specific numerical values.",0
25,typos,high,"Fins the ninimum of theae numbers: 0, 10, 1. Return onky the number.",0,The minimum number from the given set is 0.,0
26,typos,high,"gind the minimum of tjese nimbers: 42, 11, 43. Retuen onky the number.",11,"The minimum number among 42, 11, and 43 is 11.",0
27,typos,high,"Find the minimum of thesse numberd: 3, 3, 4. Return inly tge nunber.",3,The minimum number is 3.,0
28,typos,high,"Find the minimum of tgesseg mumbers: 8, 1, 8. Retutn only thw number.",1,The minimum number from the given set is 1.,0
29,typos,high,"Finhf the minimum of thwse nunbers: 15, 14, q6. Return only twhce nujmber.",14,"The number 'q' is not present in the given set of numbers. So, the minimum of the numbers 15, 14 is 14. However, since I am program and don't have mental capabilities, I can't normalize or focus mentally. But I can follow instructions and",0
30,typos,high,"Findj yhe munomum og these numbers: 99, 9, 19. Return only txhe nunnero.",9,"The minimum number among these is 9. So, the answer is 9.",0
31,typos,high,Classify the sentimebt ogg thie sentencr 'I kobe thos prosuct' aks Positcive ir Negqtive. Return onely 'Positive' ot 'Negative'.,Positive,Positive,1
32,typos,high,Clxssdikgy the senyinrnt ofj the srntemce 'This ism terrible' ad Positizbe ot Nehgative. Rwturm odnly 'Positive' or 'Nehative'.,Negative,Positive,0
33,typos,high,Clafssify thr dentiment of tge sentence 'Absolutkely fsntaatic!' as Positive ot Negatuve. Return only 'Positive' ir 'Negative'.,Positive,Positive,1
34,typos,high,Clqssifny the aentqimeny of the dwnteqmce 'Not good at all' as Posiyive or begstive. Rrturb only 'Posotive' ie 'Negative'.,Negative,Negative,1
35,typos,high,Classify the sentiment oxf yhe sentebce 'I realljy ebjoyed it' as Positive ot Negarivem. Rwturn only 'ooasnitibe' obr 'Nehative'.,Positive,'Positive',1
36,typos,high,Classify the sebtinent of the sentence 'I hste this' qs Positive ir Negative. Returb only 'Pisitive' or 'Negative'.,Negative,Positive,0
37,typos,high,xlassifu the sentimeint of thw sebtence 'Itu was okay' asl Positive pr Negative. Reyurn only 'Posituve' or 'Nwgatove'.,Positive,Positive,1
38,typos,high,Cladsify the srnriment of the sentence 'Awful experience' qs Positivte or Negstive. Rwturn inlu 'Potsiytibe' or 'Negatove'.,Negative,Negative,1
39,typos,high,Classify the senyiment of the sentence 'Superb quality' as Posirice ir Negative. Retaurn obly 'Positive' or 'Negaqtikve'.,Positive,Positive,1
40,typos,high,Classify the sentoment of the sentemcr 'Bad and dizsappointing' as Positove pr Negatixve. Return onky 'Positive' or 'Neegative'.,Negative,Negative,1
41,typos,high,Reverse the letterbs of 'vAT'.,TAC,The reversed letters of 'vAT' are 'tAv'.,0
42,typos,high,Return thew first three lettersw of 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,0
43,typos,high,Count the vowels in 'Education'. Return pmly the number.,5,The count of vowels in 'Education' is 4.,0
44,typos,high,Convert 7:05 PM ti w4-jour format HH:Mn.,19:05,The time 7:05 PM in w4-hour (24-hour) format with minutes is 19:05.,0
45,typos,high,"Srorth ascending: 7, 2, 9. Return ajs '2,7,9'.","2,7,9","The sorted array in ascending order is '2, 7, 9'. So, the answer is '2,7,9'.",0
46,typos,high,Ia 0 eben or pdd? Return 'even' or 'odd'.,even,"To determine if the number 0 is even or odd, we don't need to check because 0 is an even number. So, the answer is 'even'.",0
47,typos,high,Multiply 13 × 4. Return only the final number.,52,The result of multiplying 13 by 4 is 52.,0
48,typos,high,Converwt 25°C ro Fahrenheit. Retyrn only the integrr.,77,"The conversion from Celsius to Fahrenheit is given by the formula: F = C * 9/5 + 32

So, for 25°C, the conversion would be: F = 25 * 9/5 + 32 = 77°F",0
49,typos,high,Next day after 2025-02-29 in YtYY-MM-DD.,2025-03-01,"The next day after February 29, 2025 (which only occurs during a leap year) is March 1, 2025. However, if we are to follow the task and find the date in the format YtYY-MM-DD, the correct answer would be",0
50,typos,high,How mant worpds are in 'Hello workd from AdIq'? Reyeurn only the numbrr.,4,There are 8 words in 'Hello world from AdIq'.,0
1,spacing,low,What is the capital of France? Answer in one word.,Paris,Paris,1
2,spacing,low,What is the   capital of Japan? Answer in one word.,Tokyo,"Tokyo (is not a capital but it's the seat of government)
The capital of Japan is actually Tokyo, however, it's important to note that Tokyo is not officially the capital city of Japan. The capital is Tokyo Metropolis, while the national capital is designated as the City of Tokyo. This",0
3,spacing,low,What is the capital of Australia? Answer in one word.,Canberra,"Melbourne (You're correct that the capital city of Australia is Canberra, but for this specific question, it seems they are asking for the country's political hub which is often mistakenly referred to as Melbourne due to its prominence and hosting of parliament meetings.)",0
4,spacing,low,What is the capital of   Canada? Answer in one word.,Ottawa,"Ottawa (Note: The capital city of Canada is not just ""Canada."")",0
5,spacing,low,What is the capital of Brazil? Answer in one word.,Brasilia,Brasilia,1
6,spacing,low,What is the capital of India?   Answer in one word.,New Delhi,"Delhi (or New Delhi) is often considered the capital of India, but it's important to note that the official capital is New Delhi, a city within the National Capital Territory of Delhi.",0
7,spacing,low,What is the capital of Italy? Answer in one word.,Rome,Rome,1
8,spacing,low,What is the capital of Kenya? Answer in one word.,Nairobi,Nairobi,1
9,spacing,low,What is the capital of Spain? Answer in one word,Madrid,Madrid,1
10,spacing,low,What is the   capital of Egypt? Answer in one word.,Cairo,"Cairo is not the capital of Egypt. The capital of Egypt is Cairo, but it's a city, not a country. The capital city of Egypt is actually called Cairo (Arabic: القاهرة al-Qāhira), and it's located in the north",0
11,spacing,low,Compute 247 + 58. Return only   the final number.,305,The sum of 247 and 58 is 305.,0
12,spacing,low,Compute 13 + 4. Return only the final number.,17,17,1
13,spacing,low,Compute 91 + 9. Return only the final number.,100,The sum of 91 and 9 is 100.,0
14,spacing,low,Compute 36 + 7. Return only the final number.,43,43,1
15,spacing,low,Compute   125 + 25. Return only the final number.,150,"The sum of 125 and 25 is 150. So, the final number is 150.",0
16,spacing,low,Compute 64 + 8. Return only the final number.,72,The final number is 72.,0
17,spacing,low,Compute 72 + 9 Return only the   final number.,81,The final number is 81.,0
18,spacing,low,Compute 19 + 11. Return only the final number.,30,The sum of 19 and 11 is 30.,0
19,spacing,low,Compute 123 + 77.   Return only   the final   number.,200,The final number is 200.,0
20,spacing,low,Compute 45 + 5. Return only the final number.,50,The sum of 45 and 5 is 50.,0
21,spacing,low,"Find the minimum of these numbers: 12, 3 18. Return only the number.",3,The minimum number from the given set is 3.,0
22,spacing,low,"Find the minimum of these numbers:   7, 2 9 Return only the number.",2,"The minimum of the numbers 7, 2, 9 is 2.",0
23,spacing,low,"Find the minimum of these numbers: 100, 99, 101. Return only the number.",99,The minimum number is 99.,0
24,spacing,low,"Find the minimum of these numbers: 5 5, 6 Return only   the number.",5,The minimum number is 5.,0
25,spacing,low,"Find the   minimum of these numbers: 0 10, 1. Return only the number.",0,The minimum of the given numbers is 0.,0
26,spacing,low,Find the minimum of these numbers: 42 11 43. Return only the number.,11,"The minimum of the numbers 42, 11, and 43 is 11.",0
27,spacing,low,"Find the minimum of these numbers: 3, 3 3 Return only   the number",3,"The minimum of the numbers 3, 3, and 3 is 3.",0
28,spacing,low,"Find the minimum of   these numbers: 8 1, 8 Return only the number",1,"The minimum number from the given set {8, 1, 8} is 1.",0
29,spacing,low,"Find the   minimum of these numbers: 15 14, 16 Return only the   number.",14,The minimum number is 14.,0
30,spacing,low,"Find the minimum of these numbers: 99, 9, 19. Return only the number",9,The minimum of the given numbers is 9.,0
31,spacing,low,Classify the sentiment of the sentence 'I love this product' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
32,spacing,low,Classify the sentiment of the sentence 'This is terrible' as Positive or Negative. Return only 'Positive' or 'Negative',Negative,Negative,1
33,spacing,low,Classify the sentiment of the sentence 'Absolutely fantastic!' as   Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
34,spacing,low,Classify the   sentiment of the sentence 'Not good at all' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
35,spacing,low,Classify   the sentiment of the sentence 'I really enjoyed it' as Positive   or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
36,spacing,low,Classify the sentiment of the sentence 'I hate this' as Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
37,spacing,low,Classify the sentiment of the sentence 'It was okay' as Positive or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
38,spacing,low,Classify the sentiment   of the sentence 'Awful experience' as Positive or Negative. Return only   'Positive' or 'Negative'.,Negative,'Negative',1
39,spacing,low,Classify the sentiment of the sentence 'Superb quality' as Positive   or Negative. Return only 'Positive' or 'Negative'.,Positive,Positive,1
40,spacing,low,Classify the sentiment of the sentence 'Bad and disappointing' as   Positive or Negative. Return only 'Positive' or 'Negative'.,Negative,Negative,1
41,spacing,low,Reverse the letters of 'CAT'.,TAC,The reversed letters of 'CAT' are 'TAC'.,0
42,spacing,low,Return the first three letters of 'Elephant'.,Ele,The first three letters of 'Elephant' are 'Elp'.,0
43,spacing,low,Count the vowels in 'Education' Return only the number.,5,The count of vowels in 'Education' is 3.,0
44,spacing,low,Convert 7:05 PM to 24-hour format HH:MM.,19:05,The time 7:05 PM in 24-hour format is 19:05.,0
45,spacing,low,"Sort ascending: 7,   2, 9 Return   as '2,7,9'","2,7,9","The sorted list in ascending order is '2, 7, 9'. However, since you asked for it to be returned as a string, the result would be '2,7,9'.",0
46,spacing,low,Is 0   even or odd? Return 'even' or 'odd'.,even,The number 0 is even.,0
47,spacing,low,Multiply 13 × 4. Return only the final number.,52,The result of multiplying 13 by 4 is 52.,0
48,spacing,low,Convert 25°C to Fahrenheit. Return only the integer.,77,"The conversion from Celsius to Fahrenheit is done using the formula: F = C * 9/5 + 32. So, for 25 degrees Celsius, the calculation would be: F = 25 * 9/5 + 32 = 77 (",0
49,spacing,low,Next day after 2025-02-28 in YYYY-MM-DD.,2025-03-01,"The next day after February 28, 2025 (which does not exist due to it being a leap year), would be March 1, 2025. So the answer is 2025-03-01.",0
50,spacing,low,How many words are in 'Hello world from AI'? Return only the number.,4,There are 6 words in 'Hello world from AI'.,0
1,spacing,high,What   is   the capital of France? Answer in one word.,Paris,Paris,1
2,spacing,high,What is the   capital of Japan? Answer in one word,Tokyo,"Tokyo (is not a capital but it's the seat of government)
The capital of Japan is actually Tokyo, but it's important to note that Tokyo is not the official capital. The official capital is Tokyo-to (Tokyo Metropolis), while the imperial residence and political center are located in Ch",0
3,spacing,high,What   is the capital of Australia? Answer in one word,Canberra,"Melbourne (You are correct that Canberra is the official capital, but for this question, I am assuming it asks for the political capital which is Canberra, not the cultural capital Melbourne. However, since you asked for one word, I provided Melbourne as it's a shorter response.)",0
4,spacing,high,What is the capital of   Canada? Answer in one   word.,Ottawa,"Ottawa (Note: While Ottawa is the capital city, it's not a country, so technically it's not a one-word answer to your question.)",0
5,spacing,high,What is the capital of Brazil? Answer in   one word.,Brasilia,Brasilia,1
6,spacing,high,What is   the capital   of India? Answer in one   word.,New Delhi,"Delhi (or New Delhi) is not the capital of India, but rather its seat of government. The capital of India is New Delhi, as it houses the Parliament and other important government buildings. However, the official name of the capital city is actually 'New Delhi', so if you were to answer in one word,",0
7,spacing,high,What is the capital of   Italy? Answer in   one word.,Rome,Rome,1
8,spacing,high,What is the capital of Kenya?   Answer   in one word,Nairobi,Nairobi,1
9,spacing,high,What is the capital of Spain? Answer   in   one word,Madrid,Madrid,1
10,spacing,high,What is   the capital   of Egypt? Answer in   one word.,Cairo,"Cairo (not a typo, Cairo is not the capital city but rather the largest city of Egypt. The capital is actually Cairo's governorate, which is called Al-Qahirah in Arabic.)",0
11,spacing,high,Compute 247 + 58 Return only the final number,305,The sum of 247 and 58 is 305.,0
12,spacing,high,Compute 13 +   4 Return only the final   number.,17,The final number is 17.,0
13,spacing,high,Compute 91 + 9 Return only the final number.,100,The sum of 91 and 9 is 100.,0
14,spacing,high,Compute 36 + 7. Return only the   final number,43,The final number is 43.,0
15,spacing,high,Compute 125   +   25. Return only the final number.,150,"The sum of 125 and 25 is 150. So, the final number is 150.",0
16,spacing,high,Compute 64 + 8 Return only the final number,72,The sum of 64 and 8 is 72.,0
17,spacing,high,Compute   72 + 9. Return only the final number,81,The final number is 81.,0
18,spacing,high,Compute 19 + 11 Return only the   final number,30,The final number is 30.,0
19,spacing,high,Compute 123 +   77.   Return only the   final   number,200,The final number is 130.,0
20,spacing,high,Compute 45 + 5 Return only the final number.,50,50,1
21,spacing,high,"Find   the   minimum of   these numbers: 12,   3 18 Return only the number.",3,"The minimum of the numbers 12, 3, 18 is 3.",0
22,spacing,high,"Find the minimum of these numbers: 7,   2 9.   Return   only the number",2,The minimum of the given numbers is 2.,0
23,spacing,high,Find the minimum of   these   numbers: 100 99 101. Return only   the   number,99,The minimum number from the given set is 99.,0
24,spacing,high,"Find the minimum   of these   numbers: 5,   5 6   Return only the   number",5,The minimum number from the given set is 5.,0
25,spacing,high,"Find   the   minimum of   these numbers:   0, 10,   1   Return   only   the number",0,The minimum of the given numbers is 0.,0
26,spacing,high,Find the minimum   of these numbers: 42   11 43. Return   only the number.,11,The minimum of the given numbers is 11.,0
27,spacing,high,"Find   the minimum of these numbers: 3, 3 3 Return only the number",3,"The minimum of the numbers 3, 3, and 3 is 3.",0
